name,val_factorized_top_k/top_1_categorical_accuracy,val_factorized_top_k/top_5_categorical_accuracy,val_factorized_top_k/top_10_categorical_accuracy,val_factorized_top_k/top_50_categorical_accuracy,val_factorized_top_k/top_100_categorical_accuracy,val_root_mean_squared_error,val_loss,val_regularization_loss,val_total_loss
original,0.0451388880610466,0.19140625,0.2825520932674408,0.4963107705116272,0.5798611044883728,0.3135642409324646,2369.203125,0,2369.203125
RO,0.0434027761220932,0.1820746511220932,0.2641059160232544,0.4440104067325592,0.5208333134651184,0.3490089178085327,2461.101318359375,0,2461.101318359375
RU,0.0457899309694767,0.1920572966337204,0.2693142294883728,0.4598524272441864,0.5466579794883728,0.32300153374671936,2555.317138671875,0,2555.317138671875
GN,0.0358072929084301,0.1497395783662796,0.2163628488779068,0.3875868022441864,0.4715711772441864,0.3575354814529419,2537.830322265625,0,2537.830322265625
